method,time,rms_w2,standard_error,mean_runtime_seconds
B=16,0.748,3.247114939691164,0.011222059986888673,0.03491761491666997
B=16,0.8240000000000001,3.162248508236001,0.013882570439216507,0.03491761491666997
B=16,0.9,3.094234048666851,0.018458374949927126,0.03491761491666997
B=16,0.972,3.0405441522796375,0.016993505946581583,0.03491761491666997
B=16,1.048,2.9728480682091796,0.020097723792994262,0.03491761491666997
B=16,1.124,2.905423213549694,0.020676084016902702,0.03491761491666997
B=16,1.2,2.8389781404225674,0.016686753845328684,0.03491761491666997
B=16,1.272,2.784761080429339,0.01731050809499991,0.03491761491666997
B=16,1.348,2.7290497836556185,0.01835177901466793,0.03491761491666997
B=16,1.424,2.6717678218583987,0.021065721987537027,0.03491761491666997
B=16,1.5,2.611504096919043,0.02046251272765092,0.03491761491666997
B=16,1.572,2.563054859066519,0.020679437382783737,0.03491761491666997
B=16,1.6480000000000001,2.5104911219590798,0.02110552802403586,0.03491761491666997
B=16,1.724,2.4640427265154057,0.017030351133261082,0.03491761491666997
B=16,1.8,2.419863081101031,0.018722338330611127,0.03491761491666997
B=16,1.872,2.3726982793507845,0.019138138620657445,0.03491761491666997
B=16,1.948,2.3212501912906407,0.020363343393233455,0.03491761491666997
B=16,2.024,2.275865304928245,0.017565561194504812,0.03491761491666997
B=16,2.1,2.2332663672450854,0.017446529558980087,0.03491761491666997
B=16,2.172,2.185901730998203,0.017715286477404706,0.03491761491666997
B=16,2.248,2.1357945806101215,0.018926003755626954,0.03491761491666997
B=16,2.324,2.1078428794159594,0.01870768247537385,0.03491761491666997
B=16,2.4,2.064335998588394,0.018377514362168106,0.03491761491666997
B=16,2.472,2.026944624359617,0.01839168009271114,0.03491761491666997
B=16,2.548,1.9875137369813114,0.020391496220811465,0.03491761491666997
B=16,2.624,1.955442513640047,0.020442588449076326,0.03491761491666997
B=16,2.7,1.9150127350490136,0.021670329073986236,0.03491761491666997
B=16,2.7720000000000002,1.878706984206648,0.022972324703658384,0.03491761491666997
B=16,2.848,1.834794377045803,0.02229038758128179,0.03491761491666997
B=16,2.924,1.804179615871073,0.024239902248808322,0.03491761491666997
B=16,3.0,1.7550905329284925,0.02250139053133837,0.03491761491666997
